uuid,description,color,price,cc3,sparkling,floral,striped,description_proc,escription_proc_len
00_0564f_oiEWE1ZvK6ng3sTmdP3KQksP, summer dress ,PINK,12.0,DRESSES,False,True,False,summer dress,2
00_07349_vxjbEDHFguTHhEwDfFysu8re,"Skinny cropped fit, shimmered foil brocade  print detail, side panels, mid-rise, pocket-free profile, hidden back zipper closure, inside gold elastic waistband. Imported. Cotton, nylon, spandex stretchy blend.

Measurements laying flat: waist 13.5"", front rise 9.5"", inseam 26.5""",BLACK,34.2,TROUSERS,False,True,False,skinni crop shimmer foil brocad print detail side panel rise pocket free profil hidden back zipper closur insid gold elast waistband import cotton nylon spandex stretchi blend measur lay flat waist front rise inseam,34
00_073ef_spC4HznPtEARcGyE2uar4aLQ,"Graži ilga gėlėta suknelė, viršus su blizgiais aukso spalvos žvyneliais, dydis M, bet tiks S, S/M nešiojančiai, su permatomomis petnešėlėmis, dėvėta nedaug, be defektų, siuntimas 1,5 eur",VARIOUS,7.0,DRESSES,True,True,False,graži ilga gėlėta suknelė viršus blizgiai aukso spalvo žvyneliai dydi tik nešiojančiai permatomomi petnešėlėmi dėvėta nedaug defektų siuntima,18
068a7_fJUqnVPXWwhnwgaSYgrcX6YF,"Krásné, po bocích siťované lampasy,bez vad vel uvedená LXL délka 90cm pas 40 az 43cm
Boky cca 48cm
Pošta 70kč",BLACK,7.779999999999999,TROUSERS,True,False,False,krásné bocích siťované lampasi uvedená délka boki pošta,8
00_06127_hSwEwX79T2tKhoE1tXrXWfi8,Never worn before,BLACK,9.6,SKIRTS,False,False,False,never worn,2
00_053a1_6L8i516we7cyXX65QJ2sqqXp,High waisted flowy shorts with cream and brown paisley print. BNWT.,BROWN,6.0,SHORTS_CAPRIS,False,False,False,high waist flowi short cream brown paisley print bnwt,9
00_05985_Kp8nxbuzK8goc59sx463as8b,denim skirt distressed hem never worn no tags size 14 new look ,BLUE,4.8,SKIRTS,False,False,False,denim skirt distress never worn tag size look,8
06f0c_nNqap8WSbHuTejuGuMWvLvnR,gently used high waisted leggings no flaws ,BLACK,1.52,TROUSERS,False,False,True,gentl use high waist leg flaw,6
05caf_io5eB7Yffq4t684dxAcEetHu,"Neunosím.Prodysnejsi,vhodne i do teplejsich dni...",BLACK,3.8899999999999997,TROUSERS,True,False,False,neunosím prodysnejsi vhodn teplejsich,4
00_06784_gQ4CYoZi7MsLC64SbwwfE3Zp,"Worn quite a few times, still in great condition. Size 10-11 in Primark kids.",BLUE,4.2,TROUSERS,False,False,False,worn quit time still great condit size primark kid,9
00_057a1_537QVGuP5546VoRUVn4zQaUM,"New with tags perfect condition no flaws 
75% Polyester 24% Cotton 1% Spandex
Size 4
Waist: 14.5” (flat)
Length: 23”
",BLUE,11.4,SKIRTS,False,True,False,tag perfect condit flaw polyest cotton spandex size waist flat length,11
00_05fbc_y5kZN64GyAniPpZSZ9mBTyY4,"XS size, casual and confortable sweater, just worn once!!",BLACK,6.0,PULLOVERS_SWEATERS,False,True,False,size casual confort sweater just worn,6
00_070e0_5VcrcBQMpLQgycT7FipRh7E7,Grazus geletas megztinis,WHITE,6.0,PULLOVERS_SWEATERS,False,True,False,grazus geleta megztini,3
00_0548c_K4yFfFPNFHNYq19kVUvm3W9E,"Porą kartų tik buvau apsivilkusi, deja man maži 🙄",BLUE,6.5,SHORTS_CAPRIS,False,False,False,porą kartų buvau apsivilkusi deja maži,6
00_05bc1_6iEzip9gAC5ytK4gokFjfPvY,"Size 10 from Boohoo. Waist measures 16"" flat, inseam measures 24"". Waistband isn't stretchy, zips and buttons in the front, black with white stripes, culotte length (mid calf).",BLACK,6.08,TROUSERS,False,False,True,size boohoo waist measur flat inseam measur waistband stretchi zip button front black white stripe culott length calf,18
068a7_fJUqnVPXWwhnwgaSYgrcX6YF,"Krásné, po bocích siťované lampasy,bez vad vel uvedená LXL délka 90cm pas 40 az 43cm
Boky cca 48cm
Pošta 70kč",BLACK,7.779999999999999,TROUSERS,True,False,False,krásné bocích siťované lampasi uvedená délka boki pošta,8
00_06fcf_z4Y8E8FUaWjBnVXQVW5xMEYk,"never worn with no tags
size 16 distressed denim shorts - would look good on size 14 too
very very soft denim - super comfortable
#summerwear #denimshorts ",BLACK,4.8,SHORTS_CAPRIS,False,False,False,never worn tag size distress denim short look good size soft denim super comfort summerwear denimshort,16
05e1f_eNnwdcvx2Y4t2FuYhRWNoT3W,"super cute  print kimono with tassel trimming 
100% Polyester 
",GREEN,6.08,PULLOVERS_SWEATERS,False,True,False,super cute print kimono tassel trim polyest,7
054c2_cq9gTU3egDQrTWaLB53ofS3D,"Tag says size 12
Measurements: Waist 33”, Length is a little past 38”, Rise 14”, Thigh 24”, Hip 42”

Material: 55% Ramie, 45% Cotton
Made in Indonesia 
Has a faded look
Belt loops
V Waistline 
In Good Vintage Condition",NAVY,15.2,TROUSERS,False,False,False,say size measur waist length littl past rise thigh materi rami cotton made indonesia fade look belt loop waistlin good vintag condit,22
