uuid,description,color,price,cc3,sparkling,floral,striped,description_proc,escription_proc_len
00_070d3_dpabPqbzc5792AWDpNuWy83t,"Forever 21 light blue button up denim skirt, with silver buttons, size 28 US (uk size 10). Only worn once. 
#forever21 #denimskirt #buttonupskirt #alineskirt #miniskirt",LIGHT-BLUE,12.0,SKIRTS,False,False,False,forev light blue button denim skirt silver button size size worn forev denimskirt buttonupskirt alineskirt miniskirt,16
00_05af6_AArbGW3b7MKwfEBqFKHHbzfH,"Neįkyriai blizgus, juodas, trumpas, klostuotas sijonas. ",BLACK,4.5,SKIRTS,True,False,False,neįkyriai blizgus juoda trumpa klostuota sijona,6
06fd2_TteHe5N3UwqGBwbvV56CEihX,size 8,GREY,3.5999999999999996,SHORTS_CAPRIS,False,False,False,size,1
00_0511a_oGhuCXP62hjVWp8dx1ngWq6T,"High waisted with pockets and belt loops. 

PLEASE CHOOSE ROYAL MAIL POSTAGE!",PINK,4.8,SHORTS_CAPRIS,False,True,False,high waist pocket belt loop pleas choos royal mail postag,10
04fe9_nzL3fdoAntq53zppa9PKjFLV,"dryžuotas, rašo M, bet tinka iki XL",BLACK,3.0,PULLOVERS_SWEATERS,False,False,True,dryžuota rašo tinka,3
00_05323_j2FbipeHXLxtNMEtUu2zi1VY,"only worn a couple of times 
european size 32",VARIOUS,3.0,SKIRTS,False,True,False,worn coupl time european size,5
00_06965_9smKyQB9BEnxCNRcpQxckayx,"Beautiful Margaret Godfrey Suede Brown Trouser/pants/ bottoms, with  detail on left pants leg 

Size 10p

Condition: excellent",BROWN,38.0,TROUSERS,False,True,False,beauti margaret godfrey sued brown trouser pant bottom detail left pant size condit excel,14
00_05c65_RtEiwhEQzU34p8JeTdyKSd8J,"Marika Black camouflage leggings , in great condition.",BLACK,9.88,TROUSERS,False,False,False,marika black camouflag leg great condit,6
00_05d58_249HTk2z6gokzh3pbUuHaqVu,14 dydzio kelnes klasika. Super bukles be defektu. Juoda sodri spalva. Su daug elastano. Ilgis 105cm.nuo klyno 75cm klubai 5*2 cm tempias 63*2cm liemuo 42*2cm tempias 47*2cm  leskyte 70cm tempias 44*2cm,BLACK,10.5,TROUSERS,True,False,False,dydzio keln klasika super bukl defektu juoda sodri spalva daug elastano ilgi klyno klubai tempia liemuo tempia leskyt tempia,19
00_06327_F67B2hzp2TT5Pz98tVBq6E9Q,Skoro nošená mikina koupená v Itálii. ,WHITE,13.576099999999999,PULLOVERS_SWEATERS,False,False,True,nošená mikina koupená itálii,4
00_0736e_oh9zyiE8pTgjEKydLrotKUXU,"Black woman’s sweater with attached chevron scarf. you can remove it. ribbed bottom and sleeves. I can not find the size but fits as a L/XL. Like new.

",BLACK,6.08,PULLOVERS_SWEATERS,False,False,False,black woman sweater attach chevron scarf remov rib bottom sleev find size fit like,14
00_0711e_gzn1So7rLzm4dr1nkkvt22ic,"Nádherný lesklý rolák, vzadu knoflíčky, dělá pěknou postavu, vel. M/L, min.nošený #zlatyrolak #atmosphere #lesk",GOLD,13.225999999999999,PULLOVERS_SWEATERS,True,False,False,nádherný lesklý rolák vzadu knoflíčki dělá pěknou postavu nošený zlatyrolak atmospher lesk,12
00_05337_c3Lr3d3VjSyg6SXZALzZXkpd,"size small, worn; distressed look. one has a pain stain, see pics 
WILL THROW IN FREE W ANY BUNDLE IF ASKED 
#jsfcloset ",RED,0.76,SHORTS_CAPRIS,False,False,False,size small worn distress look pain stain pic throw free bundl ask jsfcloset,13
061d7_nGc4m44jm4d9hGADN3zf9pqs,"A-silueto žydros spalvos džinsinis sijonas. Juosmuo: 72cm ilgis: 89cm, dydis: S/M",LIGHT-BLUE,55.0,SKIRTS,False,False,False,silueto žydro spalvo džinsini sijona juosmuo ilgi dydi,8
062bc_dBBG4PQ4Za4yf5NhyfqXF48w,"Juodai balta dryžuota suknelė mergaitei Dekoratyvinis užtrauktukas nugaroje. 134/140. 9-10 metų. Poliesteris 71%, viskozė 27%, elastanas 2%.",BLACK,10.0,DRESSES,False,False,True,juodai balta dryžuota suknelė mergaitei dekoratyvini užtrauktuka nugaroj metų poliesteri viskozė elastana,12
00_06b02_fxT9eDG8GFcVNPeUVLP1t37j,"Tommy Hilfiger dzinsinis sijonas
naujas bet jau be etikeciu
Kaip ir daugelis sios firmos rubu siek tiek didintas etikeje xs bet labiau tiktu sm dydziui",BLUE,33.0,SKIRTS,False,False,False,tommi hilfig dzinsini sijona nauja etikeciu kaip daug sio firmo rubu siek tiek didinta etikej labiau tiktu dydziui,18
00_05c2f_ShgDMYEpkFyLyi34s6HoWAwA,"Dark wash denim shorts from Hollister. High rise destroyed Jean shorts. Size 5 (27)
",BLUE,15.2,SHORTS_CAPRIS,False,False,False,dark wash denim short hollist high rise destroy jean short size,11
00_060d0_8DjZWBwwRD6Du9PpfmCgLHPR,Dryžuota aptempta suknelė 158-164 cm. Iš priekio su užrašu „MILAN”. Su atvirais pečiais. ,BLACK,8.0,DRESSES,False,False,True,dryžuota aptempta suknelė priekio užrašu milan atvirai pečiai,8
062ac_r9CcVLoLu41Gvmjn1uHVAbSM,"- nošené, ale stále pěkné
- délka 94 cm, šířka 37 cm, délka sedu 17 cm",NAVY,3.8899999999999997,TROUSERS,True,False,False,nošené stále pěkné délka šířka délka sedu,7
